name,type,address,latitude,longitude,freguesia,opening_hours
Pingo Doce,apartments,385 Rua de Sá da Bandeira,41.14965586097346,-8.607654523955503,Porto,Mo-Sa 8:30-20:30; Su 9:00-20:00
Bloco 29,apartments,nan nan,41.161285024671606,-8.56837535172057,Porto,
Bloco A,apartments,nan nan,41.162440100000005,-8.566970399999999,Porto,
Tamegão,apartments,nan nan,41.14891637364965,-8.607934138277555,Porto,
Bloco 26,apartments,nan nan,41.16146647473954,-8.568714003252719,Porto,
,apartments,nan nan,41.16472075,-8.580432850000001,Porto,
,apartments,"627,629 Rua João de Deus",41.163510684841306,-8.640257306096554,Ramalde,
Hotel Nave,apartments,247 Avenida de Fernão de Magalhães,41.15227376292104,-8.597334714227685,Porto,
Porto Park Centrum,apartments,462 Avenida de Fernão de Magalhães,41.15405834932199,-8.595671892211923,Porto,
Me Allegro,apartments,nan nan,41.150058267851065,-8.616993242177703,Porto,
Plácido,apartments,331 Rua de Sá da Bandeira,41.14903304427798,-8.607872616937426,Porto,
IRON,apartments,364 Rua da Boavista,41.15608133918781,-8.617501454383758,Porto,Mo-Fr 09:00-19:00; Sa 09:00-13:00
Adolfo Dominguez,apartments,458 Avenida Sá da Bandeira,41.14972988710263,-8.606329348169226,Porto,Mo-Sa 10:00-19:00
Edifício Boavista,apartments,nan nan,41.15968540036587,-8.641793881391761,Porto,
Eurolines,apartments,"70,72 Rua Formosa",41.14752065577008,-8.602992370469769,Porto,
Women'secret,apartments,312A Rua de Santa Catarina,41.1510547934468,-8.605108085840305,Porto,
Grande Hotel de Paris,apartments,27 Rua da Fábrica,41.14713133800553,-8.612740352914399,Porto,
Associação Inquilinos Norte Portugal,apartments,"115,119 Rua da Firmeza",41.15086364326138,-8.60263383446787,Porto,
J,apartments,nan nan,41.16965388859797,-8.622133879508375,Porto,
Asprela Domus III,apartments,nan nan,41.18517945944477,-8.606575980169007,Porto,
Paços da Prelada,apartments,nan nan,41.17593480590002,-8.634473638639747,Ramalde,
Bloco 8,apartments,nan nan,41.1651948,-8.575572499999996,Porto,
Panorama Douro Residences,apartments,nan nan,41.14829257162285,-8.642037122173905,Porto,
Boavista Residence,apartments,30A Rua do Engenheiro António de Almeida,41.16161907310416,-8.641651958870192,Ramalde,
Casa Carolina Michaelis,apartments,159 Rua de Cedofeita,41.15045169874664,-8.617261000811945,Porto,
Bloco 9,apartments,nan nan,41.16522870955057,-8.575987975158835,Porto,
L,apartments,nan nan,41.16991580505783,-8.622435547199798,Porto,
Bazar dos Três Vintens,apartments,"98,102 Rua de Cedofeita",41.149753609518086,-8.616501036854112,Porto,
M,apartments,nan nan,41.16995434530061,-8.62201431571608,Porto,
A,apartments,nan nan,41.16912091885206,-8.622109528192752,Porto,
Asprela Domus II,apartments,nan nan,41.1853442921123,-8.605637030144972,Porto,
I,apartments,nan nan,41.16961079450218,-8.622566513531302,Porto,
O,apartments,nan nan,41.170156146050005,-8.622935905813682,Porto,
David & Filhos,apartments,929 nan,41.15053035884709,-8.609488143706995,Porto,
N,apartments,nan nan,41.17030863625195,-8.622422862022669,Porto,
G,apartments,nan nan,41.16933636952927,-8.623225563353728,Porto,
H,apartments,nan nan,41.16926422878508,-8.62358900608414,Porto,
F,apartments,nan nan,41.1686262917864,-8.623853329911103,Porto,
E,apartments,nan nan,41.1687274407011,-8.623515915072012,Porto,
D,apartments,nan nan,41.16882540866855,-8.62316447825712,Porto,
C,apartments,nan nan,41.16892453854699,-8.622812942441463,Porto,
Edificio G,apartments,nan R. Dr. Santana Dionísio,41.17306321099508,-8.63507743421324,Ramalde,
Bloco 7,apartments,nan nan,41.16485644555969,-8.574909498321942,Porto,
Antas Park,apartments,nan nan,41.16153385986487,-8.586739031669813,Porto,
Antas Build,apartments,nan nan,41.16445768948515,-8.588353139043306,Porto,
Bairro de Bessa Leite,apartments,nan nan,41.15869130994821,-8.646302726369106,Porto,
Clube dos Fenianos Portuenses,apartments,nan nan,41.15023366112286,-8.611305819032978,Porto,
Fredi Fredi,apartments,nan nan,41.14593548153277,-8.60382205120806,Porto,
Associação Agricultores do Porto,apartments,nan nan,41.1425042805508,-8.609940584189026,Porto,
Jornal de Notícias,apartments,nan nan,41.152934613554905,-8.608905438174352,Porto,
Tipografia Araújo,apartments,nan nan,41.14373830175569,-8.618146525260189,Porto,
Antas Garden,apartments,nan nan,41.16605076631784,-8.58622327668445,Porto,
Bloco 10,apartments,nan nan,41.165526,-8.576162800000002,Porto,
Ourivesaria Ducado,apartments,"224,226 Rua de Cedofeita",41.15080819793361,-8.617041486513772,Porto,"Mo-Fr 09:30-12:30,14:30-19:00; Sa 09:30-13:00"
GUEST H4U - Porto Batalha City Center,apartments,124 Rua do Sol,41.14326864164558,-8.606456160394186,Porto,
Bloco 11,apartments,nan nan,41.16556407326884,-8.575517238968438,Porto,
Bloco 20,apartments,nan nan,41.16581970000001,-8.57659335,Porto,
Bloco 12,apartments,nan nan,41.165785072086656,-8.575801305188081,Porto,
Quinta de Vale de Pios,apartments,169 Rua de O Primeiro de Janeiro,41.16189598294788,-8.644033972910519,Ramalde,
B,apartments,nan nan,41.16902278441373,-8.622461302705062,Porto,
Edificio Essenza,apartments,nan nan,41.16940485445488,-8.671615023058244,Porto,
Electro Carneiro,appliance, ,41.1553548,-8.611815,,
,appliance, ,41.1553839,-8.6192617,,
Fonoteca Municipal do Porto,archive,122 Rua de Pinto Bessa,41.1496914,-8.5881855,Porto,Tu-Sa 14:00-19:00
Fonoteca Municipal do Porto,archive,Rua de Pinto Bessa,41.1496914,-8.5881855,,Tu-Sa 14:00-19:00
Afinsa Galeria,art, ,41.1503104,-8.6116564,,
Ricardo Campus - Caricaturas,art, ,41.1543416,-8.5912762,,
Espiga,art,Rua de Clemente Meneres 66A,41.1487306,-8.6192968,,
Lago Artes,art,Rua da Bainharia 119;121;123,41.1432534,-8.6124633,,Mo-Sa 10:30-18:30
Moldursant,art, ,41.1492601,-8.6129031,,
Ponto das Artes,art,Rua de Santa Catarina 125,41.147337,-8.6067843,,
Squid Ink Works,art,Rua do Loureiro 110,41.1448969,-8.6097253,,
Mercado 48,art,Rua da Conceição 48,41.150021,-8.6139204,,
Bull & Stein,art, ,41.1547698,-8.6134689,,
Galeria Quadrado Azul 2,art_gallery, ,41.14922880855582,-8.621980641113492,,
Galeria Minimal,art_gallery,Rua Miguel Bombarda 221,41.149726416820194,-8.61943791142195,,Tu-Fr 14:00-19:00; Sa 15:00-19:30
Pintalhão,arts_centre,Rua do Giestal,41.1675244,-8.5795887,,
Pintalhão,arts_centre,334 Rua do Giestal,41.1675244,-8.5795887,Porto,
Centro Cultural STOP,arts_centre,Rua do Heroísmo,41.14572814524388,-8.59459644326399,,24/7
Centro Cultural STOP,arts_centre,333 Rua do Heroísmo,41.14572814524388,-8.59459644326399,Porto,24/7
Casa d'Artes do Bonfim,arts_centre,nan nan,41.15418552450931,-8.596123291595278,Porto,
Casa Comum,arts_centre,nan Praça de Gomes Teixeira,41.1462039,-8.6156094,Porto,
Casa d'Artes do Bonfim,arts_centre,,41.15418552450931,-8.596123291595278,,
Casa Comum,arts_centre,Praça de Gomes Teixeira,41.1462039,-8.6156094,,
Mealheiro Postal ASM,association,nan nan,41.14786952734232,-8.604252731228959,Porto,
A.N.I.E.C.A.,associaton,nan nan,41.15040115781605,-8.616534698717995,Porto,
A.N.I.E.C.A.,associaton,,41.15040115781605,-8.616534698717995,,
Banco BPI,atm,nan nan,41.1583207,-8.6304357,Porto,
Euronet,atm,nan nan,41.1445768,-8.6122935,Porto,
Caixa Geral de Depósitos,atm,nan nan,41.1693561,-8.6367363,Ramalde,
Banco BPI,atm,,41.1583207,-8.6304357,,
Santander Totta,atm,nan nan,41.1778711,-8.60719,Porto,
BPI,atm,nan nan,41.1484969,-8.585515,Porto,
Caixa Geral de Depósitos,atm,,41.1508216,-8.585683,,24/7
,atm,nan nan,41.1702429,-8.6567971,Ramalde,
Millennium bcp,atm,nan nan,41.1484632,-8.5862332,Porto,
Caixa Geral de Depósitos,atm,nan nan,41.1508216,-8.585683,Porto,24/7
Banco CTT,atm,nan nan,41.1836624,-8.5996124,Porto,
Millennium bcp,atm,,41.1484632,-8.5862332,,
ATMExpress,atm,nan nan,41.1524496,-8.6178527,Porto,
BPI,atm,,41.1484969,-8.585515,,
Santander Totta,atm,,41.1778711,-8.60719,,
Euronet,atm,,41.1445768,-8.6122935,,
,atm,,41.171613,-8.687932,,
,atm,nan nan,41.171613,-8.687932,Porto,
ATMExpress,atm,,41.1524496,-8.6178527,,
Banco CTT,atm,,41.1836624,-8.5996124,,
Auditório,auditorium,nan nan,41.178271247789546,-8.597914782415401,Porto,
,auditorium,,41.179495648610825,-8.595403222112743,,
,auditorium,nan nan,41.179495648610825,-8.595403222112743,Porto,
Auditório,auditorium,,41.178271247789546,-8.597914782415401,,
Espaço Mamãs,baby_goods, ,41.1768901,-8.6516545,,
Zippy,baby_goods, ,41.1641826,-8.5843438,,
O Mundo do Bebé,baby_goods, ,41.14897450558512,-8.606678848898197,,
Prénatal,baby_goods, ,41.1631998,-8.5847866,,
Gente Miúda,baby_goods, ,41.1501805,-8.6057416,,
Gália,bag,Rua de Santa Catarina 31,41.1464913,-8.6071195,,
Navarro,bag, ,41.1458759,-8.6126866,,
Paulo Camargo,bag, ,41.153049,-8.6765271,,
Capri,bag, ,41.1467439,-8.6103916,,
"Portiny - Carteiras, Marroquinaria",bag,Rua de Santa Catarina 74,41.1468043,-8.606792,,
Spot Luggage & Lounge,bag, ,41.1522303,-8.6103429,,
Casa Lima,bag,Rua de Rodrigues Sampaio 186,41.1490094,-8.610007,,
,bag, ,41.1444311,-8.6087255,,
Teresinha Carteiras,bag, ,41.1485419,-8.6078388,,
"Pão Quente ""Truz Truz""",bakery, ,41.1659596,-8.6205353,,
Padaria Molete,bakery,Rua do Heroísmo 207,41.1463837,-8.5928427,,
O Rei do Pão de Queijo,bakery, ,41.1503955,-8.6091852,,
Dii SweetCake,bakery, ,41.1785294,-8.6243476,,
Giramassa,bakery, ,41.1530131,-8.6079941,,
Masseira Padaria Artesanal,bakery,Rua Diogo Brandão 69,41.149399,-8.6175141,,We-Fr 10:00-19:30; Sa 10:00-18:30; Tu 09:00-19:30
Royale Pão Paixão,bakery,Rua Guerra Junqueiro 634,41.1586172,-8.6358318,,Mo-Fr 08:00-19:00; Sa 08:30-19:30
Pão Quente Fonte da Moura,bakery, ,41.1644765,-8.6633599,,
Confeitaria Calica,bakery,Rua do Barão de Forrester 655,41.1567125,-8.6195015,,Mo-Sa 07:00-20:00
Confeitaria da Lapa,bakery,Travessa da Figueirôa 98,41.1559567,-8.6179366,,Mo-Su 07:00-21:00
Doce Giesta,bakery,Rua de Camões 85,41.1526834,-8.6102608,,
Cafetaria Docelandia,bakery, ,41.1483033,-8.6155667,,
Novo Imperador,bakery, ,41.1615648,-8.6037317,,06:30-20:30
Altamira - Pastelaria e Padaria,bakery,Rua de António Bessa Leite 1238 a 1264,41.1574169,-8.6450704,,"Mo-Fr 07:30-20:30; Sa,Su 08:00-20:30"
Primor,bakery, ,41.1467251356614,-8.602541358491917,,
O Brasileiro,bakery, ,41.1716921,-8.6622853,,
Confeitaria dos Clérigos,bakery,Rua dos Clérigos 67,41.1457974,-8.6134366,,
Padaria do Heroísmo,bakery, ,41.1468924,-8.5900102,,
Flor do Bonjardim,bakery,Rua do Bonjardim 747,41.1554032,-8.6077459,,07:00-20:00
Oporto Confeitaria,bakery,Rua da Alegria 2112,41.1650123,-8.5986656,,
Celeste,bakery, ,41.1613413,-8.6038559,,07:00-22:00
Restaurante Proa de Pereiró,bakery, ,41.1731297,-8.6551744,,
São Jorge,bakery, ,41.1546938,-8.6091042,,PH off
A Padoca,bakery, ,41.1477176,-8.6205829,,
Boémia,bakery, 28,41.1592253,-8.6286084,,
Seara D'Ouro,bakery, ,41.1735691,-8.6028004,,
São João da Foz,bakery,R. João de Barros 409,41.1721416,-8.6338747,,"Mo-Fr 07:00-20:30, Sa-Su 8:00-20:30"
Pá do Forno,bakery, ,41.1557899,-8.5948106,,Mo-Sa 07:00-20:00; Su 07:00-13:00
Snopão,bakery, ,41.1526693,-8.6222133,,
Padouro,bakery, ,41.1467332,-8.6027708,,
Rainha da Foz,bakery,Rua de Diu 297,41.1540747,-8.6747194,,Mo-Sa 07:00-20:00
Paulista,bakery, ,41.1443583,-8.6072415,,
Padeirinha Doce,bakery, ,41.1436361,-8.6076347,,
Lua-de-Mel,bakery, ,41.1665253,-8.6553317,,
Pão quente,bakery, ,41.1615765,-8.611342,,
Padaria Ribeiro,bakery, ,41.1475189,-8.6149832,,
Nata Sweet Nata,bakery,Rua do Cais da Ribeira 18,41.1407493,-8.6108094,,Su-Th 09:00-23:00; Fr-Sa 09:00-00:00
Confeitaria Atlântico,bakery, ,41.1544043,-8.5956111,,Mo-Sa 07:00-19:00
A Padaria Portuguesa,bakery,Rua dos Heróis e Mártires de Angola 71,41.1515978,-8.6105587,,
Padaria Pão Quente Trigal,bakery,Avenida de Fernão de Magalhães 1164,41.1597789,-8.5925065,,
Confeitaria Gelarte,bakery, ,41.1660248,-8.59737,,
Solar do Pão Quente,bakery,Praça Guilherme Gomes Fernandes 36,41.1474106,-8.6147201,,
Abaco,bakery, ,41.1841467,-8.6014466,,
Boulangerie Formosa,bakery,Rua de Gondarém ,41.15639043755018,-8.679768145138931,,
Padaria O Sultão,bakery, ,41.1707382,-8.656157,,
Confeitaria Rainha,bakery, ,41.157418,-8.5938842,,
Café Horizonte,bakery,Avenida das Congostas ,41.1784066,-8.6344502,,
Padaria  Jamor,bakery, ,41.1729963,-8.655288,,
Confeitaria Petúlia,bakery,Rua de Júlio Dinis 775,41.1554947,-8.6275406,,
Doce Real,bakery,Rua do Bolhão 133,41.1514531,-8.6073822,,06:00-20:00
Miss Pavlova,bakery,Rua do Almada 13,41.1462487,-8.6125084,,Mo-Su 11:00-19:00
Odete Bakery,bakery,Rua Santo Ildefonso 478,41.1478524,-8.5996061,,Mo-Sa 10:00-19:00; Su 10:00-15:00
Pau de Canela,bakery, ,41.1760254,-8.6346578,,
Canadoce,bakery, ,41.1567257,-8.6214248,,
Nova Europa,bakery,Rua do Doutor Alfredo Magalhães 234,41.1539902,-8.6097615,,
Pão Quente São João,bakery, ,41.1842343,-8.6018491,,
Padaria & Pastelaria Cristal,bakery,Rua de Cedofeita 585,41.1558619,-8.6193323,,Mo-Fr 07:00-20:00; Sa 07:00-14:00; Su 07:00-13:00
Pão Quente Grupi,bakery, ,41.1628761,-8.5733035,,
Nova Prelada,bakery, ,41.1698779,-8.6348458,,
