name,type,address,latitude,longitude,freguesia,opening_hours
,convenience, ,41.1455134,-8.5874158,,
Minipreço,supermarket, ,41.1467311,-8.5916855,,
Ovelha Negra - Loja de Tricot Portuense,fabric, ,41.1499977,-8.6145304,,
Teresinha,shoes, 15,41.1474478,-8.6085,,
FC Porto Store,clothes,Rua de Sá da Bandeira 270,41.1486477,-8.607793,,
Adão Oculista,optician, ,41.147229,-8.6039494,,
O Cântaro,gift, ,41.1408603,-8.6109276,,
BMcar,car, ,41.1487608,-8.6114686,,
Douro Acima,travel_agency, ,41.1492119,-8.6113241,,
Forninho Doce,pastry,Rua do Professor Sousa Júnior 12,41.1778895,-8.6259797,,
,vacant, ,41.1493648,-8.6114832,,
Casa Januário,greengrocer,"Rua do Bonjardim 348,350,352",41.1492746,-8.6094267,,"Dec Mo-Sa 09:30-19:00; Jan-Nov Mo-Fr 09:30-19:00; Jan-Nov Sa 09:30-13:00; Dec 01,Dec 08 09:30-19:00; Dec 21,Dec 22,Dec 23 09:30-21:00; Dec 24 09:30-15:00; Dec 31 09:30-17:00; Jan 01 off; Jan 02 off"
Sanzala,coffee,Rua de Guilherme da Costa Carvalho 1,41.1490119,-8.6095795,,
Mitagi,clothes, ,41.1494999,-8.6076656,,
,clothes, ,41.1495947,-8.6076485,,
Armandu's Noivas,clothes, ,41.1501279,-8.6084183,,
Casa Chinesa,greengrocer, ,41.1491928,-8.6078228,,Mo-Fr 08:00-19:00; Sa 09:00-13:00
Comer e chorar por mais,greengrocer, ,41.1485499,-8.6068275,,
Lavamatic - Lavandaria Self-Service e Engomarinha,laundry, ,41.1733793,-8.6552955,,Mo-Su 07:00-22:00
Talho Formosa,butcher, ,41.1475359,-8.6038128,,
Talho Fernandes Tomás,butcher, ,41.1492764,-8.6039608,,
Escola Cond. França,car, ,41.1491436,-8.6035424,,
Material Elétrico,hifi, ,41.1491941,-8.6036444,,
Purplecrazy,clothes, ,41.1492567,-8.603816,,
Arcadia,chocolate,Avenida da Boavista 1046,41.1592079,-8.6360155,,
Alecrim Flores,florist, ,41.1574779,-8.6367537,,
Península Boutique Center,mall,Praça do Bom Sucesso 159,41.1564238,-8.6299304,,
