name,type,address,latitude,longitude,opening_hours,freguesia
,train_station,nan nan,41.14917564784471,-8.585345095261287,,Porto
,train_station,nan nan,41.148386667019324,-8.585517275884476,,Porto
Sala de Espera da estação Ferroviária de Campanhã,train_station,nan nan,41.14854650241755,-8.585479307110136,,Porto
Estação Ferroviária de Porto - Campanhã,train_station,nan Largo da Estação,41.14878434733589,-8.585448868879496,,Porto
,yes,12-24 Rua da Arroteia,41.18249158112304,-8.596720102946723,,Porto
,yes,40 Rua da Arroteia,41.182660235328115,-8.596806344554272,,Porto
,yes,47 Rua da Arroteia,41.18278703285793,-8.597129740694502,,Porto
Mercado do Bom Sucesso,retail,3 Praça do Bom Sucesso,41.15582146964363,-8.629109084897964,"Mo-Th,Su,PH 08:00-23:00; Fr-Sa 08:00-24:00",Porto
Igreja da Lapa,church,nan nan,41.15717058069603,-8.611988410231932,,Porto
Silo Auto,yes,45 Rua Gonçalo Cristovão,41.15279671166016,-8.60667983522872,24/7,Porto
Clube Fluvial Portuense - Complexo de Piscinas,yes,nan Rua de Aleixo Mota,41.15049451559594,-8.654938256267936,Sep-Jul: Mo-Fr 07:00-22:00; Sa 08:00-20:00; Aug: Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 09:00-13:30; PH 09:00-13:30,Porto
,yes,nan nan,41.14386865000001,-8.62321615,,Porto
,residential,nan nan,41.160746043490214,-8.643524967522973,,Ramalde
,residential,nan nan,41.16070526367977,-8.643286581343053,,Ramalde
,yes,nan nan,41.160682083880644,-8.643115253114182,,Ramalde
,residential,nan nan,41.160590327620575,-8.643970824880343,,Ramalde
Eurostars Oporto Aparthotel,yes,212 Rua do Mestre Guilherme Camarinha,41.184970794916936,-8.603094583657674,,Porto
Casa-Atelier Marques da Silva,yes,nan nan,41.160656711132184,-8.604045533823093,,Porto
,school,1580 Rua de Latino Coelho,41.159845177249395,-8.603496452887441,,Porto
Palacete Lopes Martins,university,nan nan,41.16047004848235,-8.604127515956643,,Porto
,apartments,nan nan,41.17832582423641,-8.619971788191636,,Porto
,apartments,nan nan,41.17764196438534,-8.621293219922348,,Porto
Sinagoga Kadoorie,yes,nan nan,41.15590891303958,-8.636883018920594,,Porto
Capela de Nossa Senhora da Conceição,chapel,nan nan,41.15161859880106,-8.66869515925585,,Porto
,yes,nan nan,41.14323461855625,-8.57665724216111,,Porto
Sanatório de Tuberculosos da Foz do Douro,yes,nan nan,41.14804790051417,-8.673496797937839,,Porto
,yes,nan nan,41.143456329844625,-8.577470250843326,,Porto
Museu Nacional da Imprensa,yes,206 Avenida José Domingues dos Santos,41.14340542092057,-8.576742061767385,off,Porto
Bar Instituto de Socorro a Náufragos,yes,nan nan,41.14805147874629,-8.653095727829824,,Porto
,yes,nan nan,41.16267472231181,-8.577686382643105,,Porto
,yes,nan nan,41.16362352420723,-8.577393415788555,,Porto
Recheio,yes,181 Rua Chaves de Oliveira,41.164564910183415,-8.577836989543428,Mo-Fr 07:30-23:00,Porto
,yes,nan nan,41.16306653155971,-8.578941136918907,,Porto
,yes,nan nan,41.16359152084994,-8.578627238135374,,Porto
,yes,nan nan,41.1613543558733,-8.578809870630447,,Porto
,yes,nan nan,41.16230478032946,-8.580342857276861,,Porto
Recheio Cash & Carry,yes,nan nan,41.1615522548689,-8.580435270029671,,Porto
,roof,nan nan,41.16197095603157,-8.577839349010015,,Porto
,yes,nan nan,41.163528441758274,-8.580064159825296,,Porto
,yes,nan nan,41.16225837826472,-8.579160116901114,,Porto
,yes,nan nan,41.16269503144249,-8.580199426275707,,Porto
,yes,nan nan,41.16401688918735,-8.57837413736185,,Porto
Capela Carlos Alberto: Igreja Luterana do Porto,chapel,nan nan,41.14600984364781,-8.62691193026383,,Porto
,yes,14 Rua de Ramalho Ortigão,41.1494248174315,-8.611566287274233,,Porto
Axis Porto Club Hotel,construction,325 Avenida dos Aliados,41.14995646619397,-8.611563925504173,,Porto
,roof,nan nan,41.145485943611426,-8.60945364626319,,Porto
,yes,nan nan,41.149271792376396,-8.611690157889353,,Porto
,yes,nan nan,41.14913317504111,-8.611956345088078,,Porto
,yes,nan nan,41.146190123267964,-8.61203643699415,,Porto
,roof,nan nan,41.140190200000006,-8.613896049999996,,Porto
,apartments,nan nan,41.14977205054522,-8.611493873787426,,Porto
Café do Cais,yes,nan nan,41.140230264943774,-8.613906466326153,,Porto
AJHLP,office,140 Rua de Rodrigues Sampaio,41.14860409338962,-8.609560795295854,,Porto
,apartments,nan nan,41.15061404911843,-8.61002242867229,,Porto
,parking,nan nan,41.15098141882548,-8.609260840146083,,Porto
Departamento de Armas e Explosivos da Polícia de Segurança Pública,office,nan nan,41.14962328496717,-8.611534968828705,,Porto
A Igreja de Jesus Cristo dos Santos dos Últimos Dias,church,774 Avenida Marechal Gomes da Costa,41.158974315784796,-8.663810409929514,,Porto
,apartments,nan Rua de Pelágio,41.17501112497232,-8.666621825825409,,Porto
,apartments,nan Rua de Pelágio,41.173153063768005,-8.666493793460086,,Porto
,apartments,nan Rua de Pelágio,41.17384704511687,-8.666432016681664,,Porto
,apartments,nan Rua de Pelágio,41.17436999041691,-8.666892786211744,,Porto
,apartments,nan Rua de Pelágio,41.172799902889196,-8.666470900258417,,Porto
,apartments,nan Rua de Pelágio,41.17350434663168,-8.666511843126075,,Porto
,apartments,nan Rua de Pelágio,41.17475544938976,-8.666801412069962,,Porto
,apartments,nan Rua de Pelágio,41.1741743707583,-8.666361144621973,,Porto
,apartments,nan Rua de Pelágio,41.17391497979953,-8.66609470203088,,Porto
,apartments,nan Rua de Pelágio,41.17400805916623,-8.665769144148474,,Porto
,apartments,nan Rua de Pelágio,41.17453430400952,-8.666292610323547,,Porto
,apartments,nan Rua de Pelágio,41.17426947855462,-8.666030284486826,,Porto
Forte de São Francisco Xavier,yes,nan nan,41.16859394893189,-8.689951749178194,,Porto
,school,nan nan,41.16848492301557,-8.666049013330781,,Porto
,school,nan nan,41.168964844701335,-8.666261265600491,,Porto
,school,nan nan,41.16907905,-8.66581215,,Porto
,yes,nan nan,41.1688419484184,-8.667481723617488,,Porto
,yes,nan nan,41.169517224286416,-8.571126803557465,,Porto
,yes,nan nan,41.163731776251,-8.56994226057795,,Porto
Edificio A,yes,nan nan,41.17539402777265,-8.582745286035312,,Porto
,yes,nan nan,41.16291327601428,-8.569655561617884,,Porto
,yes,nan nan,41.17770840821437,-8.581721024600379,,Porto
Edificio U,yes,nan nan,41.17613753066253,-8.581403891473519,,Porto
,yes,nan nan,41.17703949467473,-8.581493633023115,,Porto
,roof,nan nan,41.16339599831848,-8.569721857426325,,Porto
,yes,nan nan,41.176996713976536,-8.581977470789623,,Porto
Igreja de Nossa Senhora do Calvário,church,nan nan,41.16413594522099,-8.570715230775763,,Porto
,yes,nan nan,41.175305949999995,-8.582451699999998,,Porto
,yes,nan nan,41.17743053424094,-8.582638352002448,,Porto
,yes,nan nan,41.172453757520145,-8.580611515654107,,Porto
