name,highway,maxspeed,latitude,longitude,length,bridge,service,tunnel
Rua dos Mártires da Liberdade,pedestrian,,41.15118957923476,-8.614032627461812,112.27000000000001,,,
Rua dos Mártires da Liberdade,residential,,41.15227016963308,-8.613719908972234,135.442,,,
Rua das Oliveiras,residential,,41.14951399577039,-8.614877745245419,80.378,,,
Rua das Oliveiras,residential,,41.1486737,-8.61549475,25.547,,,
,footway,,41.1485929,-8.6155921,2.839,,,
,footway,,41.14860315000001,-8.615633500000001,4.459,,,
Praça de Carlos Alberto,residential,,41.148767323671755,-8.615689156188362,44.269,,,
Rua de Clemente Menéres,secondary,30,41.147538555906486,-8.620278608151004,23.189999999999998,,,
Rua da Torrinha,residential,,41.1528598,-8.62349165,98.01,,,
Rua do Padre Cruz,residential,,41.15306069280585,-8.624285946152554,47.674,,,
Rua de Camões,secondary,,41.154719708463624,-8.610052723727744,106.28299999999999,,,
Rua de João das Regras,residential,,41.155209782057575,-8.610978450207012,155.872,,,
Rua de Camões,secondary,,41.15542835911722,-8.610044004369584,51.326,,,
Rua Heróis e Mártires de Angola,secondary,,41.15161144684021,-8.61032444587956,60.928000000000004,,,
Rua de Sá da Bandeira,secondary,50,41.150909999999996,-8.6067473,11.843,,,
Rua de Sá da Bandeira,secondary,50,41.15101705,-8.606687,14.029,,,
Rua da Firmeza,residential,,41.1510911,-8.60733465,9.851,,,
Rua do Bolhão,residential,,41.150761599999996,-8.6075304,80.424,,,
Rua de Fernandes Tomás,secondary,,41.1503504,-8.60830575,97.052,,,
Rua do Bonjardim,residential,,41.15046695,-8.60894115,6.449,,,
Rua de Fernandes Tomás,secondary,,41.15056429937165,-8.609217263121545,54.257999999999996,,,
Rua do Bonjardim,residential,,41.1501315,-8.60942755,7.03,,,
Rua de Fernandes Tomás,secondary,,41.149794299999996,-8.605827699999999,8.021,,,
Rua de Fernandes Tomás,secondary,,41.14977345,-8.60573705,7.852,,,
Rua de Santa Catarina,pedestrian,,41.14982261692744,-8.60576829622117,8.995000000000001,,,
Rua de Santa Catarina,pedestrian,,41.14975089144234,-8.605794327628441,7.539,,,
Rua da Firmeza,tertiary,,41.15096285,-8.6055732,34.902,,,
,footway,,41.15093505,-8.60539685,7.303,,,
,footway,,41.150980450000006,-8.60533175,7.556,,,
,footway,,41.1509328,-8.605352499999999,5.852,,,
,footway,,41.1509834,-8.605375500000001,6.048,,,
Rua de Santa Catarina,pedestrian,,41.15073374257109,-8.605445929497488,51.556,,,
Rua de Santa Catarina,pedestrian,,41.15140455290276,-8.60519980786258,103.21300000000001,,,
Rua da Firmeza,tertiary,,41.150947450000004,-8.6045296,46.807,,,
Rua da Alegria,tertiary,,41.150584699999996,-8.60421865,80.278,,,
Rua de Fernandes Tomás,secondary,,41.14929591505157,-8.603640504426643,81.548,,,
Rua da Alegria,tertiary,,41.149087168575555,-8.604075777313698,68.822,,,
Rua de Guedes de Azevedo,residential,,41.1519081,-8.6052614,39.98,,,
Rua de Santa Catarina,pedestrian,,41.15140455290276,-8.60519980786258,103.21300000000001,,,
Rua do Bonjardim,residential,,41.151132849999996,-8.608490750000001,10.387,,,
,footway,,41.15118225,-8.608490100000001,3.413,,,
,footway,,41.151173099999994,-8.608454,2.966,,,
Rua da Trindade,secondary,,41.15113535,-8.60977235,63.256,,,
Rua de Guilherme da Costa Carvalho,tertiary,50,41.1491804,-8.6103643,14.884,,,
Rua Doutor António Luís Gomes,secondary,,41.1492302,-8.6104318,7.511,,,
Rua de Dom João IV,secondary,,41.15214315,-8.6023176,252.475,,,
Rua da Firmeza,tertiary,,41.15098172461387,-8.602958070593022,122.133,,,
Rua da Firmeza,tertiary,,41.15094827445883,-8.603968240222372,47.20700000000001,,,
Rua Doutor Alves da Veiga,residential,,41.15023375485241,-8.60347983311272,163.543,,,
Rua da Alegria,tertiary,,41.15258795,-8.6037906,156.212,,,
