Type,Location,Neighborhood,Residential,Shop,Work,Latitude,Longitude
pharmacy,Rua da Constituição,"Porto, Portugal",,,,41.1611679,-8.5995157
cafe,,"Porto, Portugal",,,,41.1569861,-8.6228546
restaurant,,"Porto, Portugal",,,,41.1566614,-8.6210111
cafe,,"Porto, Portugal",,,,41.1714102,-8.687788
restaurant,,"Porto, Portugal",,,,41.1544512,-8.6309195
pharmacy,Rua do Bolama,"Porto, Portugal",,,,41.1653358,-8.6051727
restaurant,,"Porto, Portugal",,,,41.1435098,-8.6078107
pharmacy,Rua de O Primeiro de Janeiro,"Porto, Portugal",,,,41.1645047,-8.6422799
restaurant,Rua do Campo Alegre,"Porto, Portugal",,,,41.152427,-8.6304773
cafe,,"Porto, Portugal",,,,41.1515572,-8.6316799
cafe,Avenida dos Aliados,"Porto, Portugal",,,,41.1478225,-8.611539
cafe,,"Porto, Portugal",,,,41.179468,-8.5855126
atm,,"Porto, Portugal",,,,41.1786248,-8.5868155
atm,,"Porto, Portugal",,,,41.1804633,-8.5834726
restaurant,,"Porto, Portugal",,,,41.1804255,-8.5835897
cafe,,"Porto, Portugal",,,,41.1803608,-8.5835153
restaurant,,"Porto, Portugal",,,,41.1810919,-8.5837628
restaurant,,"Porto, Portugal",,,,41.1785366,-8.5866426
post_office,,"Porto, Portugal",,,,41.1527544,-8.6770916
post_office,,"Porto, Portugal",,,,41.182669,-8.6136883
post_office,Rua da Prelada,"Porto, Portugal",,,,41.1666607,-8.6263271
bank,,"Porto, Portugal",,,,41.164064,-8.6208177
bank,,"Porto, Portugal",,,,41.1612588,-8.5989704
restaurant,Avenida de Fernão de Magalhães,"Porto, Portugal",,,,41.1599726,-8.5923397
cafe,,"Porto, Portugal",,,,41.1626202,-8.5905056
pharmacy,,"Porto, Portugal",,,,41.1469928,-8.5903785
cafe,,"Porto, Portugal",,,,41.146563,-8.5888679
restaurant,,"Porto, Portugal",,,,41.1616741,-8.602209
cafe,,"Porto, Portugal",,,,41.1469652,-8.5905075
clinic,,"Porto, Portugal",,,,41.1536297,-8.5959625
post_office,,"Porto, Portugal",,,,41.1485769,-8.5978226
atm,,"Porto, Portugal",,,,41.1478286,-8.597839
bank,,"Porto, Portugal",,,,41.1464986,-8.5958431
cafe,,"Porto, Portugal",,,,41.1461193,-8.596687
cafe,Praça de Almeida Garrett,"Porto, Portugal",,,,41.1452812,-8.6112433
restaurant,Rua das Galerias de Paris,"Porto, Portugal",,,,41.1469687,-8.6143986
restaurant,Rua de Rodrigues Sampaio,"Porto, Portugal",,,,41.1487203,-8.6100613
restaurant,Viela dos Congregados,"Porto, Portugal",,,,41.1470184,-8.6102179
cafe,Rua do Bonjardim,"Porto, Portugal",,,,41.1481903,-8.6095258
cafe,Rua de Rodrigues Sampaio,"Porto, Portugal",,,,41.1487207,-8.60957
cafe,Rua de Sampaio Bruno,"Porto, Portugal",,,,41.1467674,-8.6105101
cafe,Praça da Batalha,"Porto, Portugal",,,,41.1459157,-8.6072236
cafe,Rua do Loureiro,"Porto, Portugal",,confectionery,,41.1450608,-8.6103692
restaurant,Cais da Ribeira,"Porto, Portugal",,,,41.14058,-8.6120079
restaurant,,"Porto, Portugal",,,,41.1401438,-8.615611
restaurant,,"Porto, Portugal",,,,41.1406911,-8.6134721
restaurant,,"Porto, Portugal",,,,41.1404967,-8.6139128
restaurant,Cais da Ribeira,"Porto, Portugal",,,,41.1406328,-8.6115355
restaurant,,"Porto, Portugal",,,,41.1408881,-8.6117051
restaurant,,"Porto, Portugal",,,,41.14068,-8.6120914
restaurant,Rua do Infante Dom Henrique,"Porto, Portugal",,,,41.1408362,-8.6148591
restaurant,,"Porto, Portugal",,,,41.1407688,-8.6117882
restaurant,,"Porto, Portugal",,,,41.1400216,-8.615406
restaurant,,"Porto, Portugal",,,,41.1405679,-8.6149754
restaurant,,"Porto, Portugal",,,,41.1419839,-8.6141075
restaurant,Rua de Mouzinho da Silveira,"Porto, Portugal",,,,41.1415249,-8.6144133
clinic,Rua de Saraiva de Carvalho,"Porto, Portugal",,,,41.1429601,-8.6086975
restaurant,,"Porto, Portugal",,,,41.1408361,-8.6107881
restaurant,,"Porto, Portugal",,,,41.1412464,-8.6130276
library,Rua da Alfândega,"Porto, Portugal",,,,41.1408708,-8.6142724
restaurant,Cais da Ribeira,"Porto, Portugal",,,,41.1405397,-8.6126371
cafe,,"Porto, Portugal",,,,41.1406633,-8.6154053
cafe,,"Porto, Portugal",,,,41.143139,-8.6145632
restaurant,,"Porto, Portugal",,,,41.1430772,-8.614577
cafe,,"Porto, Portugal",,,,41.1430672,-8.6141005
pharmacy,Rua das Flores,"Porto, Portugal",,,,41.1440411,-8.6132321
restaurant,Rua de Afonso Martins Alho,"Porto, Portugal",,,,41.1445673,-8.6120774
post_office,,"Porto, Portugal",,,,41.1423195,-8.6155695
cafe,,"Porto, Portugal",,,,41.1457603,-8.6073631
pharmacy,Praça da Liberdade,"Porto, Portugal",,,,41.1459248,-8.6119504
restaurant,Praça da Liberdade,"Porto, Portugal",,,,41.1459404,-8.6111604
cafe,,"Porto, Portugal",,,,41.1455201,-8.6119708
place_of_worship,,"Porto, Portugal",,,,41.1453952,-8.6132616
restaurant,,"Porto, Portugal",,,,41.1454375,-8.6130561
restaurant,,"Porto, Portugal",,,,41.14284,-8.615627
cafe,,"Porto, Portugal",,,,41.1412978,-8.6179429
restaurant,,"Porto, Portugal",,,,41.1423108,-8.61744
bank,,"Porto, Portugal",,,,41.1453727,-8.6033359
cafe,,"Porto, Portugal",,,,41.144601,-8.6063215
cafe,,"Porto, Portugal",,,,41.1446554,-8.6064743
cafe,,"Porto, Portugal",,,,41.1464691,-8.6048682
cafe,Rua de Passos Manuel,"Porto, Portugal",,,,41.146555,-8.6052745
cafe,,"Porto, Portugal",,,,41.1463348,-8.6071852
restaurant,,"Porto, Portugal",,,,41.1471491,-8.6089243
clinic,,"Porto, Portugal",,,,41.1473557,-8.6091618
restaurant,,"Porto, Portugal",,,,41.145986,-8.609722
cafe,,"Porto, Portugal",,,,41.145071,-8.6045856
cafe,,"Porto, Portugal",,,,41.1447264,-8.6045174
bank,Praça de Almeida Garrett,"Porto, Portugal",,,,41.1456176,-8.6110623
pharmacy,,"Porto, Portugal",,,,41.1451921,-8.6121764
restaurant,,"Porto, Portugal",,,,41.1405715,-8.6134878
cafe,,"Porto, Portugal",,,,41.1420372,-8.6168138
restaurant,,"Porto, Portugal",,,,41.140882,-8.6118767
cafe,Rua do Infante Dom Henrique,"Porto, Portugal",,,,41.1408074,-8.6149672
restaurant,Rua de Cima do Muro,"Porto, Portugal",,,,41.1406253,-8.6120689
bank,Avenida dos Aliados,"Porto, Portugal",,,,41.1471356,-8.6109024
cafe,Rua dos Clérigos,"Porto, Portugal",,,,41.1460288,-8.6131151
cafe,Rua de José Falcão,"Porto, Portugal",,,,41.1481511,-8.6143338
cafe,Praça Parada Leitão,"Porto, Portugal",,,,41.146842,-8.6165424
restaurant,,"Porto, Portugal",,,,41.1468578,-8.6171437
cafe,,"Porto, Portugal",,,,41.1436014,-8.6174543
restaurant,,"Porto, Portugal",,,,41.1441922,-8.616946
cafe,,"Porto, Portugal",,,,41.1440801,-8.617009
library,,"Porto, Portugal",,,,41.1437387,-8.617402
cafe,,"Porto, Portugal",,,,41.1434165,-8.6176072
cafe,,"Porto, Portugal",,,,41.1435014,-8.6157806
restaurant,,"Porto, Portugal",,,,41.1415336,-8.6181774
library,,"Porto, Portugal",,,,41.1429887,-8.6217759
cafe,,"Porto, Portugal",,,,41.1440946,-8.6220682
restaurant,,"Porto, Portugal",,,,41.1441785,-8.6222694
restaurant,Rua de São Sebastião,"Porto, Portugal",,,,41.1427626,-8.6124322
cafe,,"Porto, Portugal",,,,41.1661843,-8.5972815
kindergarten,,"Porto, Portugal",,,,41.1684049,-8.5912451
bank,,"Porto, Portugal",,,,41.1670021,-8.5973995
bank,,"Porto, Portugal",,,,41.1669314,-8.5989659
restaurant,Rua de Santo Ildefonso,"Porto, Portugal",,,,41.1468428,-8.6022745
cafe,,"Porto, Portugal",,,,41.1468705,-8.6021914
restaurant,,"Porto, Portugal",,,,41.1469845,-8.6024234
cafe,,"Porto, Portugal",,,,41.1470027,-8.6022585
school,Rua de Santa Catarina,"Porto, Portugal",,,,41.1481141,-8.6062129
cafe,,"Porto, Portugal",,,,41.146816,-8.5904584
restaurant,,"Porto, Portugal",,,,41.1593323,-8.6383638
bank,,"Porto, Portugal",,,,41.1594666,-8.6374076
bank,,"Porto, Portugal",,,,41.1592205,-8.6377447
bank,,"Porto, Portugal",,,,41.1590535,-8.6367915
pharmacy,Rua de Sá da Bandeira,"Porto, Portugal",,,,41.1484265,-8.6079445
cafe,Cais da Ribeira,"Porto, Portugal",,,,41.1406741,-8.6112459
restaurant,,"Porto, Portugal",,,,41.1406941,-8.6119063
restaurant,,"Porto, Portugal",,,,41.1422342,-8.6181251
cafe,Rua Aurélio da Paz dos Reis,"Porto, Portugal",,,,41.1776703,-8.623981
cafe,Rua do Professor Sousa Júnior,"Porto, Portugal",,pastry,,41.1778895,-8.6259797
restaurant,,"Porto, Portugal",,,,41.1677884,-8.6456633
cafe,,"Porto, Portugal",,,,41.1488516,-8.6118768
cafe,,"Porto, Portugal",,,,41.1490367,-8.6116136
cafe,,"Porto, Portugal",,,,41.149116,-8.6078523
restaurant,,"Porto, Portugal",,,,41.1736286,-8.6553829
restaurant,,"Porto, Portugal",,,,41.1758392,-8.6565405
cafe,,"Porto, Portugal",,,,41.1471683,-8.6023737
restaurant,,"Porto, Portugal",,,,41.1490426,-8.6028075
bank,,"Porto, Portugal",,,,41.1480858,-8.6021356
restaurant,,"Porto, Portugal",,,,41.1475541,-8.6032688
cafe,,"Porto, Portugal",,,,41.1491536,-8.6033145
restaurant,Rua da Alegria,"Porto, Portugal",,,,41.1472147,-8.60379
restaurant,,"Porto, Portugal",,,,41.1467522,-8.6037363
atm,,"Porto, Portugal",,,,41.1781214,-8.6085955
atm,,"Porto, Portugal",,,,41.1778711,-8.60719
atm,,"Porto, Portugal",,,,41.1784525,-8.6069674
police,Rua Central do Viso,"Porto, Portugal",,,,41.1766453,-8.6439177
police,,"Porto, Portugal",,,,41.1704675,-8.6258342
clinic,,"Porto, Portugal",,,,41.1524136,-8.605642
cafe,,"Porto, Portugal",,,,41.15731,-8.6368521
cafe,,"Porto, Portugal",,,,41.1585598,-8.6339058
cafe,,"Porto, Portugal",,,,41.1593899,-8.6368594
pharmacy,,"Porto, Portugal",,,,41.1618364,-8.6377321
pharmacy,Rua do Campo Alegre,"Porto, Portugal",,,,41.1527079,-8.6304581
clinic,,"Porto, Portugal",,,,41.1570434,-8.6251352
restaurant,,"Porto, Portugal",,,,41.1584586,-8.6333333
pharmacy,,"Porto, Portugal",,,,41.158551,-8.6338232
post_office,Praça Mouzinho de Albuquerque,"Porto, Portugal",,,,41.1585546,-8.627973
bank,,"Porto, Portugal",,,,41.1560418,-8.6301105
bank,,"Porto, Portugal",,,,41.157084,-8.6300323
bank,,"Porto, Portugal",,,,41.1572031,-8.6301974
pharmacy,,"Porto, Portugal",,,,41.174583,-8.5994771
cafe,Rua de São Sebastião,"Porto, Portugal",,,,41.1426688,-8.6124018
place_of_worship,Cais da Ribeira,"Porto, Portugal",,,,41.1407074,-8.6110317
cafe,,"Porto, Portugal",,pastry,,41.1767513,-8.625622
library,,"Porto, Portugal",,,,41.1454879,-8.6185921
cafe,,"Porto, Portugal",,,,41.1477501,-8.620265
